id,value
Public Utilities|Natural Gas Distribution|UGI Corporation Common Stock(UGI)(8.244B),UGI
Public Utilities|Natural Gas Distribution|USA Compression Partners LP Common Units Representing Limited Partner Interests(USAC)(1.377B),USAC
Public Utilities|Natural Gas Distribution|Western Midstream Partners LP Common Units Representing Limited Partner Interests(WES)(6.609B),WES
Public Utilities|Natural Gas Distribution|Williams Companies Inc. (The) Common Stock(WMB)(27.014B),WMB
Public Utilities|Oil & Gas Production,NA
Public Utilities|Oil & Gas Production|Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares(BIPC)(2.714B),BIPC
Public Utilities|Oil & Gas Production|Chesapeake Utilities Corporation Common Stock(CPK)(1.803B),CPK
Public Utilities|Oil & Gas Production|Crestwood Equity Partners LP(CEQP)(1.588B),CEQP
Public Utilities|Oil & Gas Production|NextDecade Corporation Common Stock(NEXT)(0.276B),NEXT
Public Utilities|Oil & Gas Production|ONEOK Inc. Common Stock(OKE)(19.936B),OKE
Public Utilities|Oil & Gas Production|RGC Resources Inc. Common Stock(RGCO)(0.192B),RGCO
Public Utilities|Oil & Gas Production|Southwest Gas Holdings Inc. Common Stock (DE)(SWX)(3.656B),SWX
Public Utilities|Oil/Gas Transmission,NA
Public Utilities|Oil/Gas Transmission|Atmos Energy Corporation Common Stock(ATO)(12.007B),ATO
Public Utilities|Oil/Gas Transmission|Cheniere Energy Inc. Common Stock(LNG)(16.981B),LNG
Public Utilities|Oil/Gas Transmission|Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units(CQP)(19.472B),CQP
Public Utilities|Oil/Gas Transmission|Just Energy Group Inc. Ordinary Shares (Canada)(JE)(0.267B),JE
Public Utilities|Oil/Gas Transmission|National Fuel Gas Company Common Stock(NFG)(4.121B),NFG
Public Utilities|Oil/Gas Transmission|New Fortress Energy Inc. Class A Common Stock(NFE)(8.604B),NFE
Public Utilities|Oil/Gas Transmission|NewJersey Resources Corporation Common Stock(NJR)(3.751B),NJR
Public Utilities|Oil/Gas Transmission|Northwest Natural Holding Company Common Stock(NWN)(1.474B),NWN
Public Utilities|Oil/Gas Transmission|ONE Gas Inc. Common Stock(OGS)(3.907B),OGS
Public Utilities|Oil/Gas Transmission|South Jersey Industries Inc. 5.625% Junior Subordinated Notes due 2079(SJIJ)(0.000B),SJIJ
Public Utilities|Oil/Gas Transmission|South Jersey Industries Inc. Common Stock(SJI)(2.406B),SJI
Public Utilities|Oil/Gas Transmission|South Jersey Industries Inc. Corporate Units(SJIU)(0.000B),SJIU
Public Utilities|Oil/Gas Transmission|Spire Inc. Common Stock(SR)(3.493B),SR
Public Utilities|Oil/Gas Transmission|Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share)(UGP)(4.494B),UGP
Public Utilities|Power Generation,NA
Public Utilities|Power Generation|Allete Inc.(ALE)(3.317B),ALE
Public Utilities|Power Generation|Alliant Energy Corporation Common Stock(LNT)(12.141B),LNT
Public Utilities|Power Generation|Ameren Corporation Common Stock(AEE)(18.316B),AEE
