id,value
Technology|Computer Software: Prepackaged Software|Sprout Social Inc Class A Common Stock(SPT)(4.049B),SPT
Technology|Computer Software: Prepackaged Software|Square Inc. Class A Common Stock(SQ)(122.136B),SQ
Technology|Computer Software: Prepackaged Software|Sumo Logic Inc. Common Stock(SUMO)(3.693B),SUMO
Technology|Computer Software: Prepackaged Software|Synopsys Inc. Common Stock(SNPS)(41.464B),SNPS
Technology|Computer Software: Prepackaged Software|Take-Two Interactive Software Inc. Common Stock(TTWO)(22.601B),TTWO
Technology|Computer Software: Prepackaged Software|Talend S.A. American Depositary Shares(TLND)(1.790B),TLND
Technology|Computer Software: Prepackaged Software|Taoping Inc. Ordinary Shares(TAOP)(0.049B),TAOP
Technology|Computer Software: Prepackaged Software|Tenable Holdings Inc. Common Stock(TENB)(4.563B),TENB
Technology|Computer Software: Prepackaged Software|Teradata Corporation Common Stock(TDC)(5.172B),TDC
Technology|Computer Software: Prepackaged Software|Twilio Inc. Class A Common Stock(TWLO)(71.172B),TWLO
Technology|Computer Software: Prepackaged Software|Tyler Technologies Inc. Common Stock(TYL)(18.994B),TYL
Technology|Computer Software: Prepackaged Software|Unity Software Inc. Common Stock(U)(32.379B),U
Technology|Computer Software: Prepackaged Software|Upland Software Inc. Common Stock(UPLD)(1.474B),UPLD
Technology|Computer Software: Prepackaged Software|Varonis Systems Inc. Common Stock(VRNS)(6.995B),VRNS
Technology|Computer Software: Prepackaged Software|Veeva Systems Inc. Class A Common Stock(VEEV)(47.281B),VEEV
Technology|Computer Software: Prepackaged Software|Vertex Inc. Class A Common Stock(VERX)(5.610B),VERX
Technology|Computer Software: Prepackaged Software|Vmware Inc. Common stock Class A(VMW)(59.814B),VMW
Technology|Computer Software: Prepackaged Software|WiMi Hologram Cloud Inc. American Depositary Share(WIMI)(0.672B),WIMI
Technology|Computer Software: Prepackaged Software|Workiva Inc. Class A Common Stock(WK)(5.356B),WK
Technology|Computer Software: Prepackaged Software|Xunlei Limited American Depositary Receipts(XNET)(0.562B),XNET
Technology|Computer Software: Prepackaged Software|Zedge Inc. Class B Common Stock(ZDGE)(0.157B),ZDGE
Technology|Computer Software: Prepackaged Software|ZoomInfo Technologies Inc. Class A Common Stock(ZI)(21.537B),ZI
Technology|Computer Software: Prepackaged Software|Zuora Inc. Class A Common Stock(ZUO)(1.972B),ZUO
Technology|Computer Software: Prepackaged Software|eGain Corporation Common Stock(EGAN)(0.373B),EGAN
Technology|Computer Software: Prepackaged Software|iClick Interactive Asia Group Limited American Depositary Shares(ICLK)(1.453B),ICLK
Technology|Computer Software: Prepackaged Software|nCino Inc. Common Stock(NCNO)(7.275B),NCNO
Technology|Computer Software: Programming Data Processing,NA
Technology|Computer Software: Programming Data Processing|21Vianet Group Inc. American Depositary Shares(VNET)(5.318B),VNET
Technology|Computer Software: Programming Data Processing|Alithya Group inc. Class A Subordinate Voting Shares(ALYA)(0.156B),ALYA
"Technology|Computer Software: Programming Data Processing|Alphabet Inc. Class A Common Stock(GOOGL)(1,419.604B)",GOOGL
"Technology|Computer Software: Programming Data Processing|Alphabet Inc. Class C Capital Stock(GOOG)(1,427.282B)",GOOG
Technology|Computer Software: Programming Data Processing|Aurora Mobile Limited American Depositary Shares(JG)(0.729B),JG
Technology|Computer Software: Programming Data Processing|AutoWeb Inc. Common Stock(AUTO)(0.041B),AUTO
Technology|Computer Software: Programming Data Processing|Baidu Inc. ADS(BIDU)(101.644B),BIDU
Technology|Computer Software: Programming Data Processing|Bumble Inc. Class A Common Stock(BMBL)(8.264B),BMBL
Technology|Computer Software: Programming Data Processing|CEVA Inc. Common Stock(CEVA)(1.493B),CEVA
Technology|Computer Software: Programming Data Processing|Cardlytics Inc. Common Stock(CDLX)(4.051B),CDLX
Technology|Computer Software: Programming Data Processing|Dada Nexus Limited American Depositary Shares(DADA)(9.748B),DADA
Technology|Computer Software: Programming Data Processing|DouYu International Holdings Limited ADS(DOYU)(5.113B),DOYU
Technology|Computer Software: Programming Data Processing|East Stone Acquisition Corporation Ordinary Shares(ESSC)(0.179B),ESSC
Technology|Computer Software: Programming Data Processing|East Stone Acquisition Corporation Right(ESSCR)(0.000B),ESSCR
Technology|Computer Software: Programming Data Processing|East Stone Acquisition Corporation Unit(ESSCU)(0.000B),ESSCU
Technology|Computer Software: Programming Data Processing|East Stone Acquisition Corporation Warrant(ESSCW)(0.000B),ESSCW
Technology|Computer Software: Programming Data Processing|Eventbrite Inc. Class A Common Stock(EB)(1.704B),EB
Technology|Computer Software: Programming Data Processing|EverQuote Inc. Class A Common Stock(EVER)(1.311B),EVER
Technology|Computer Software: Programming Data Processing|Facebook Inc. Class A Common Stock(FB)(767.302B),FB
Technology|Computer Software: Programming Data Processing|FactSet Research Systems Inc. Common Stock(FDS)(12.096B),FDS
Technology|Computer Software: Programming Data Processing|GAN Limited Ordinary Shares(GAN)(1.016B),GAN
Technology|Computer Software: Programming Data Processing|GDS Holdings Limited ADS(GDS)(21.097B),GDS
Technology|Computer Software: Programming Data Processing|GigaMedia Limited Ordinary Shares(GIGM)(0.043B),GIGM
Technology|Computer Software: Programming Data Processing|HUYA Inc. American depositary shares each  representing one Class A ordinary share(HUYA)(6.974B),HUYA
Technology|Computer Software: Programming Data Processing|Health Catalyst Inc Common Stock(HCAT)(2.115B),HCAT
Technology|Computer Software: Programming Data Processing|HealthStream Inc. Common Stock(HSTM)(0.729B),HSTM
Technology|Computer Software: Programming Data Processing|IHS Markit Ltd. Common Shares(INFO)(36.831B),INFO
Technology|Computer Software: Programming Data Processing|Jianpu Technology Inc. American depositary shares(JT)(0.077B),JT
Technology|Computer Software: Programming Data Processing|LIZHI INC. American Depositary Shares(LIZI)(0.570B),LIZI
Technology|Computer Software: Programming Data Processing|Magnite Inc. Common Stock(MGNI)(6.202B),MGNI
Technology|Computer Software: Programming Data Processing|Match Group Inc. Common Stock(MTCH)(43.153B),MTCH
Technology|Computer Software: Programming Data Processing|Medallia Inc. Common Stock(MDLA)(6.648B),MDLA
Technology|Computer Software: Programming Data Processing|Model N Inc. Common Stock(MODN)(1.411B),MODN
Technology|Computer Software: Programming Data Processing|Moxian Inc. Common Stock(MOXC)(0.048B),MOXC
Technology|Computer Software: Programming Data Processing|Oblong Inc. Common Stock(OBLG)(0.040B),OBLG
Technology|Computer Software: Programming Data Processing|OneConnect Financial Technology Co. Ltd. American Depositary Shares each representing three ordinary shares(OCFT)(7.773B),OCFT
Technology|Computer Software: Programming Data Processing|Pintec Technology Holdings Limited American Depositary Shares(PT)(0.091B),PT
Technology|Computer Software: Programming Data Processing|Pinterest Inc. Class A Common Stock(PINS)(54.046B),PINS
Technology|Computer Software: Programming Data Processing|Pluralsight Inc. Class A Common Stock(PS)(3.171B),PS
Technology|Computer Software: Programming Data Processing|Professional Diversity Network Inc. Common Stock(IPDN)(0.053B),IPDN
Technology|Computer Software: Programming Data Processing|PubMatic Inc. Class A Common Stock(PUBM)(2.212B),PUBM
Technology|Computer Software: Programming Data Processing|Qutoutiao Inc. American Depositary Shares(QTT)(1.174B),QTT
Technology|Computer Software: Programming Data Processing|Rackspace Technology Inc. Common Stock(RXT)(5.066B),RXT
