id,value
Finance|Business Services|Capitol Investment Corp. V Class A Common Stock(CAP)(0.451B),CAP
Finance|Business Services|Capstar Special Purpose Acquisition Corp. Class A Common Stock(CPSR)(0.368B),CPSR
Finance|Business Services|Carney Technology Acquisition Corp. II Class A Common Stock(CTAQ)(0.545B),CTAQ
Finance|Business Services|Carney Technology Acquisition Corp. II Units(CTAQU)(0.000B),CTAQU
Finance|Business Services|Carney Technology Acquisition Corp. II Warrant(CTAQW)(0.000B),CTAQW
Finance|Business Services|Cascade Acquisition Corp. Class A Common Stock(CAS)(0.269B),CAS
Finance|Business Services|Centricus Acquisition Corp. Unit(CENHU)(0.000B),CENHU
Finance|Business Services|Cerberus Telecom Acquisition Corp. Class A Ordinary Shares(CTAC)(0.364B),CTAC
Finance|Business Services|Chardan Healthcare Acquisition 2 Corp. Common Stock(CHAQ)(0.117B),CHAQ
Finance|Business Services|Churchill Capital Corp IV Class A Common Stock(CCIV)(15.020B),CCIV
Finance|Business Services|Churchill Capital Corp V Class A Common Stock(CCV)(0.743B),CCV
Finance|Business Services|Clarim Acquisition Corp. Unit(CLRMU)(0.000B),CLRMU
Finance|Business Services|Climate Change Crisis Real Impact I Acquisition Corporation Class A Common Stock(CLII)(0.511B),CLII
Finance|Business Services|Cohn Robbins Holdings Corp. Class A Ordinary Shares(CRHC)(1.159B),CRHC
Finance|Business Services|Collective Growth Corporation Class A Common Stock(CGRO)(0.254B),CGRO
Finance|Business Services|Collective Growth Corporation Unit(CGROU)(0.000B),CGROU
Finance|Business Services|Collective Growth Corporation Warrant(CGROW)(0.000B),CGROW
Finance|Business Services|Concord Acquisition Corp. Class A Common Stock(CND)(0.000B),CND
Finance|Business Services|Corner Growth Acquisition Corp. Unit(COOLU)(0.000B),COOLU
Finance|Business Services|D8 Holdings Corp. Class A Ordinary Shares(DEH)(0.450B),DEH
Finance|Business Services|DD3 Acquisition Corp. II Class A Common Stock(DDMX)(0.075B),DDMX
Finance|Business Services|DD3 Acquisition Corp. II Unit(DDMXU)(0.000B),DDMXU
Finance|Business Services|DD3 Acquisition Corp. II Warrant(DDMXW)(0.000B),DDMXW
Finance|Business Services|DFP Healthcare Acquisitions Corp. Class A Common Stock(DFPH)(0.319B),DFPH
